#    L    TT             EE             BB             TE             PP             TP             EP
   181    0.52577E+04    0.79423E+00    0.00000E+00   -0.34637E+02    0.63228E-07    0.17227E-03   -0.71481E-06
   182    0.52801E+04    0.78387E+00    0.00000E+00   -0.33840E+02    0.62895E-07    0.17084E-03   -0.70240E-06
   183    0.53019E+04    0.77366E+00    0.00000E+00   -0.33017E+02    0.62564E-07    0.16944E-03   -0.68984E-06
   184    0.53233E+04    0.76368E+00    0.00000E+00   -0.32166E+02    0.62237E-07    0.16804E-03   -0.67710E-06
   185    0.53443E+04    0.75408E+00    0.00000E+00   -0.31291E+02    0.61912E-07    0.16666E-03   -0.66415E-06
   186    0.53644E+04    0.74471E+00    0.00000E+00   -0.30387E+02    0.61589E-07    0.16530E-03   -0.65099E-06
   187    0.53844E+04    0.73572E+00    0.00000E+00   -0.29457E+02    0.61270E-07    0.16394E-03   -0.63757E-06
   188    0.54038E+04    0.72710E+00    0.00000E+00   -0.28501E+02    0.60953E-07    0.16260E-03   -0.62388E-06
   189    0.54225E+04    0.71887E+00    0.00000E+00   -0.27519E+02    0.60638E-07    0.16128E-03   -0.60989E-06
   190    0.54411E+04    0.71110E+00    0.00000E+00   -0.26513E+02    0.60326E-07    0.15996E-03   -0.59559E-06
   191    0.54588E+04    0.70381E+00    0.00000E+00   -0.25479E+02    0.60017E-07    0.15866E-03   -0.58098E-06
   192    0.54761E+04    0.69701E+00    0.00000E+00   -0.24421E+02    0.59710E-07    0.15737E-03   -0.56609E-06
   193    0.54928E+04    0.69076E+00    0.00000E+00   -0.23338E+02    0.59406E-07    0.15609E-03   -0.55093E-06
   194    0.55091E+04    0.68508E+00    0.00000E+00   -0.22230E+02    0.59104E-07    0.15482E-03   -0.53553E-06
   195    0.55247E+04    0.68002E+00    0.00000E+00   -0.21099E+02    0.58804E-07    0.15357E-03   -0.51990E-06
   196    0.55398E+04    0.67560E+00    0.00000E+00   -0.19943E+02    0.58507E-07    0.15232E-03   -0.50406E-06
   197    0.55544E+04    0.67188E+00    0.00000E+00   -0.18764E+02    0.58213E-07    0.15109E-03   -0.48803E-06
   198    0.55684E+04    0.66888E+00    0.00000E+00   -0.17562E+02    0.57920E-07    0.14987E-03   -0.47183E-06
