#    L    TT             EE             BB             TE          
   347    0.25790E+04    0.17609E+02    0.37483E-01    0.93617E+02
   348    0.25527E+04    0.17764E+02    0.37608E-01    0.92263E+02
   349    0.25268E+04    0.17918E+02    0.37732E-01    0.90880E+02
   350    0.25012E+04    0.18068E+02    0.37857E-01    0.89474E+02
   351    0.24762E+04    0.18218E+02    0.37981E-01    0.88039E+02
   352    0.24513E+04    0.18365E+02    0.38105E-01    0.86574E+02
   353    0.24269E+04    0.18509E+02    0.38229E-01    0.85093E+02
   354    0.24027E+04    0.18650E+02    0.38353E-01    0.83576E+02
   355    0.23791E+04    0.18790E+02    0.38476E-01    0.82036E+02
   356    0.23558E+04    0.18927E+02    0.38599E-01    0.80481E+02
   357    0.23328E+04    0.19061E+02    0.38723E-01    0.78897E+02
   358    0.23104E+04    0.19192E+02    0.38846E-01    0.77297E+02
   359    0.22882E+04    0.19320E+02    0.38969E-01    0.75668E+02
   360    0.22665E+04    0.19446E+02    0.39092E-01    0.74020E+02
   361    0.22451E+04    0.19569E+02    0.39215E-01    0.72350E+02
   362    0.22242E+04    0.19689E+02    0.39338E-01    0.70659E+02
   363    0.22037E+04    0.19807E+02    0.39460E-01    0.68950E+02
   364    0.21836E+04    0.19920E+02    0.39583E-01    0.67220E+02
   365    0.21639E+04    0.20031E+02    0.39706E-01    0.65474E+02
   366    0.21447E+04    0.20139E+02    0.39829E-01    0.63710E+02
   367    0.21259E+04    0.20243E+02    0.39953E-01    0.61929E+02
   368    0.21074E+04    0.20344E+02    0.40076E-01    0.60134E+02
   369    0.20895E+04    0.20442E+02    0.40199E-01    0.58321E+02
   370    0.20720E+04    0.20537E+02    0.40323E-01    0.56497E+02
   371    0.20549E+04    0.20628E+02    0.40447E-01    0.54657E+02
   372    0.20382E+04    0.20716E+02    0.40571E-01    0.52806E+02
   373    0.20220E+04    0.20800E+02    0.40695E-01    0.50941E+02
   374    0.20062E+04    0.20881E+02    0.40820E-01    0.49066E+02
   375    0.19908E+04    0.20958E+02    0.40944E-01    0.47180E+02
   376    0.19759E+04    0.21033E+02    0.41069E-01    0.45285E+02
   377    0.19614E+04    0.21102E+02    0.41195E-01    0.43382E+02
   378    0.19474E+04    0.21169E+02    0.41321E-01    0.41468E+02
   379    0.19338E+04    0.21232E+02    0.41447E-01    0.39549E+02
   380    0.19207E+04    0.21292E+02    0.41573E-01    0.37622E+02
   381    0.19080E+04    0.21345E+02    0.41700E-01    0.35690E+02
   382    0.18956E+04    0.21397E+02    0.41827E-01    0.33753E+02
   383    0.18838E+04    0.21445E+02    0.41955E-01    0.31811E+02
   384    0.18726E+04    0.21488E+02    0.42083E-01    0.29866E+02
   385    0.18616E+04    0.21529E+02    0.42212E-01    0.27918E+02
   386    0.18511E+04    0.21565E+02    0.42341E-01    0.25969E+02
   387    0.18411E+04    0.21597E+02    0.42471E-01    0.24018E+02
   388    0.18314E+04    0.21625E+02    0.42601E-01    0.22068E+02
   389    0.18223E+04    0.21647E+02    0.42732E-01    0.20118E+02
   390    0.18136E+04    0.21668E+02    0.42863E-01    0.18170E+02
   391    0.18053E+04    0.21684E+02    0.42995E-01    0.16223E+02
   392    0.17974E+04    0.21698E+02    0.43128E-01    0.14280E+02
   393    0.17900E+04    0.21706E+02    0.43261E-01    0.12340E+02
   394    0.17831E+04    0.21711E+02    0.43395E-01    0.10406E+02
