#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   105   0.285444E+04  -0.264544E+02   0.344286E-03  -0.264544E+02   0.845713E+00  -0.143077E-05   0.344286E-03  -0.143077E-05   0.984922E-07
   106   0.288668E+04  -0.271140E+02   0.340398E-03  -0.271140E+02   0.859593E+00  -0.142806E-05   0.340398E-03  -0.142806E-05   0.978865E-07
   107   0.291885E+04  -0.277708E+02   0.336582E-03  -0.277708E+02   0.873178E+00  -0.142512E-05   0.336582E-03  -0.142512E-05   0.972846E-07
   108   0.295142E+04  -0.284255E+02   0.332835E-03  -0.284255E+02   0.886546E+00  -0.142192E-05   0.332835E-03  -0.142192E-05   0.966867E-07
   109   0.298416E+04  -0.290766E+02   0.329155E-03  -0.290766E+02   0.899623E+00  -0.141846E-05   0.329155E-03  -0.141846E-05   0.960927E-07
   110   0.301701E+04  -0.297226E+02   0.325542E-03  -0.297226E+02   0.912407E+00  -0.141471E-05   0.325542E-03  -0.141471E-05   0.955027E-07
   111   0.305002E+04  -0.303651E+02   0.321992E-03  -0.303651E+02   0.924970E+00  -0.141070E-05   0.321992E-03  -0.141070E-05   0.949167E-07
   112   0.308318E+04  -0.310032E+02   0.318504E-03  -0.310032E+02   0.937235E+00  -0.140640E-05   0.318504E-03  -0.140640E-05   0.943346E-07
   113   0.311655E+04  -0.316354E+02   0.315077E-03  -0.316354E+02   0.949200E+00  -0.140183E-05   0.315077E-03  -0.140183E-05   0.937565E-07
   114   0.314999E+04  -0.322610E+02   0.311709E-03  -0.322610E+02   0.960787E+00  -0.139699E-05   0.311709E-03  -0.139699E-05   0.931824E-07
   115   0.318363E+04  -0.328799E+02   0.308398E-03  -0.328799E+02   0.972143E+00  -0.139187E-05   0.308398E-03  -0.139187E-05   0.926123E-07
   116   0.321723E+04  -0.334915E+02   0.305143E-03  -0.334915E+02   0.983042E+00  -0.138650E-05   0.305143E-03  -0.138650E-05   0.920462E-07
   117   0.325112E+04  -0.340949E+02   0.301943E-03  -0.340949E+02   0.993559E+00  -0.138096E-05   0.301943E-03  -0.138096E-05   0.914841E-07
