#    L    TT             EE             TE             PP             TP          
   173   0.507153E+04   0.892030E+00  -0.404956E+02   0.305119E+07   0.306922E+04
   174   0.509755E+04   0.880884E+00  -0.399227E+02   0.303499E+07   0.304400E+04
   175   0.512319E+04   0.869581E+00  -0.393217E+02   0.301892E+07   0.301904E+04
   176   0.514831E+04   0.858347E+00  -0.386926E+02   0.300299E+07   0.299434E+04
   177   0.517304E+04   0.847108E+00  -0.380369E+02   0.298719E+07   0.296989E+04
   178   0.519730E+04   0.836089E+00  -0.373529E+02   0.297152E+07   0.294570E+04
   179   0.522110E+04   0.824996E+00  -0.366409E+02   0.295598E+07   0.292178E+04
   180   0.524459E+04   0.814049E+00  -0.359022E+02   0.294057E+07   0.289811E+04
   181   0.526753E+04   0.803249E+00  -0.351369E+02   0.292529E+07   0.287468E+04
   182   0.529002E+04   0.792669E+00  -0.343435E+02   0.291015E+07   0.285149E+04
   183   0.531196E+04   0.782232E+00  -0.335234E+02   0.289512E+07   0.282852E+04
   184   0.533352E+04   0.772014E+00  -0.326760E+02   0.288022E+07   0.280578E+04
   185   0.535463E+04   0.762161E+00  -0.318034E+02   0.286545E+07   0.278324E+04
   186   0.537490E+04   0.752531E+00  -0.309027E+02   0.285079E+07   0.276091E+04
   187   0.539500E+04   0.743267E+00  -0.299753E+02   0.283625E+07   0.273877E+04
   188   0.541457E+04   0.734355E+00  -0.290228E+02   0.282183E+07   0.271683E+04
   189   0.543352E+04   0.725833E+00  -0.280437E+02   0.280752E+07   0.269508E+04
   190   0.545229E+04   0.717755E+00  -0.270401E+02   0.279332E+07   0.267352E+04
   191   0.547014E+04   0.710144E+00  -0.260091E+02   0.277923E+07   0.265215E+04
   192   0.548759E+04   0.703024E+00  -0.249529E+02   0.276524E+07   0.263097E+04
   193   0.550440E+04   0.696440E+00  -0.238731E+02   0.275135E+07   0.260997E+04
   194   0.552081E+04   0.690423E+00  -0.227672E+02   0.273757E+07   0.258915E+04
   195   0.553658E+04   0.685011E+00  -0.216377E+02   0.272389E+07   0.256851E+04
   196   0.555172E+04   0.680240E+00  -0.204838E+02   0.271032E+07   0.254806E+04
   197   0.556637E+04   0.676155E+00  -0.193069E+02   0.269687E+07   0.252779E+04
   198   0.558046E+04   0.672780E+00  -0.181064E+02   0.268352E+07   0.250771E+04
   199   0.559399E+04   0.670153E+00  -0.168830E+02   0.267028E+07   0.248780E+04
   200   0.560696E+04   0.668302E+00  -0.156374E+02   0.265716E+07   0.246809E+04
   201   0.561931E+04   0.667288E+00  -0.143690E+02   0.264414E+07   0.244855E+04
   202   0.563110E+04   0.667119E+00  -0.130792E+02   0.263124E+07   0.242918E+04
   203   0.564229E+04   0.667854E+00  -0.117673E+02   0.261844E+07   0.240997E+04
   204   0.565280E+04   0.669517E+00  -0.104363E+02   0.260573E+07   0.239092E+04
   205   0.566278E+04   0.672151E+00  -0.908410E+01   0.259313E+07   0.237202E+04
   206   0.567211E+04   0.675795E+00  -0.771188E+01   0.258061E+07   0.235327E+04
   207   0.568094E+04   0.680470E+00  -0.632012E+01   0.256819E+07   0.233465E+04
   208   0.568903E+04   0.686231E+00  -0.490937E+01   0.255585E+07   0.231616E+04
   209   0.569655E+04   0.693099E+00  -0.348000E+01   0.254361E+07   0.229782E+04
   210   0.570348E+04   0.701129E+00  -0.203289E+01   0.253145E+07   0.227962E+04
   211   0.570982E+04   0.710350E+00  -0.568123E+00   0.251939E+07   0.226156E+04
   212   0.571542E+04   0.720793E+00   0.913369E+00   0.250743E+07   0.224364E+04
   213   0.572051E+04   0.732503E+00   0.241163E+01   0.249556E+07   0.222587E+04
   214   0.572493E+04   0.745475E+00   0.392544E+01   0.248379E+07   0.220825E+04
   215   0.572875E+04   0.759900E+00   0.545408E+01   0.247211E+07   0.219078E+04
   216   0.573190E+04   0.775594E+00   0.699806E+01   0.246053E+07   0.217345E+04
   217   0.573452E+04   0.792712E+00   0.855538E+01   0.244904E+07   0.215626E+04
   218   0.573645E+04   0.811254E+00   0.101263E+02   0.243764E+07   0.213921E+04
   219   0.573777E+04   0.831220E+00   0.117117E+02   0.242632E+07   0.212230E+04
   220   0.573848E+04   0.852759E+00   0.133072E+02   0.241509E+07   0.210553E+04
   221   0.573857E+04   0.875797E+00   0.149151E+02   0.240395E+07   0.208889E+04
   222   0.573804E+04   0.900483E+00   0.165337E+02   0.239288E+07   0.207238E+04
   223   0.573674E+04   0.926745E+00   0.181639E+02   0.238190E+07   0.205599E+04
   224   0.573497E+04   0.954585E+00   0.198019E+02   0.237100E+07   0.203971E+04
   225   0.573251E+04   0.984153E+00   0.214507E+02   0.236017E+07   0.202355E+04
   226   0.572943E+04   0.101545E+01   0.231064E+02   0.234942E+07   0.200748E+04
   227   0.572565E+04   0.104848E+01   0.247706E+02   0.233874E+07   0.199151E+04
   228   0.572133E+04   0.108324E+01   0.264417E+02   0.232814E+07   0.197564E+04
   229   0.571640E+04   0.111981E+01   0.281184E+02   0.231761E+07   0.195986E+04
   230   0.571079E+04   0.115819E+01   0.298012E+02   0.230716E+07   0.194418E+04
   231   0.570449E+04   0.119844E+01   0.314896E+02   0.229678E+07   0.192862E+04
   232   0.569768E+04   0.124051E+01   0.331820E+02   0.228649E+07   0.191319E+04
   233   0.569028E+04   0.128460E+01   0.348770E+02   0.227627E+07   0.189788E+04
   234   0.568214E+04   0.133057E+01   0.365753E+02   0.226613E+07   0.188271E+04
   235   0.567349E+04   0.137849E+01   0.382755E+02   0.225607E+07   0.186769E+04
   236   0.566419E+04   0.142837E+01   0.399775E+02   0.224610E+07   0.185280E+04
   237   0.565430E+04   0.148028E+01   0.416798E+02   0.223620E+07   0.183803E+04
   238   0.564382E+04   0.153430E+01   0.433823E+02   0.222637E+07   0.182337E+04
   239   0.563282E+04   0.159027E+01   0.450845E+02   0.221661E+07   0.180881E+04
