#    L    TT             EE             BB             TE          
   166   0.487801E+04   0.977431E+00   0.938486E-02  -0.435479E+02
   167   0.490658E+04   0.967185E+00   0.950981E-02  -0.431669E+02
   168   0.493468E+04   0.956941E+00   0.963579E-02  -0.427577E+02
   169   0.496245E+04   0.946403E+00   0.976278E-02  -0.423204E+02
   170   0.498991E+04   0.935787E+00   0.989079E-02  -0.418565E+02
   171   0.501691E+04   0.925093E+00   0.100198E-01  -0.413637E+02
   172   0.504354E+04   0.914244E+00   0.101498E-01  -0.408436E+02
   173   0.506973E+04   0.903241E+00   0.102809E-01  -0.402963E+02
   174   0.509561E+04   0.892382E+00   0.104130E-01  -0.397216E+02
   175   0.512111E+04   0.881374E+00   0.105460E-01  -0.391189E+02
   176   0.514609E+04   0.870441E+00   0.106801E-01  -0.384881E+02
   177   0.517067E+04   0.859510E+00   0.108151E-01  -0.378308E+02
   178   0.519480E+04   0.848804E+00   0.109512E-01  -0.371456E+02
   179   0.521845E+04   0.838032E+00   0.110882E-01  -0.364323E+02
   180   0.524179E+04   0.827414E+00   0.112263E-01  -0.356924E+02
   181   0.526459E+04   0.816948E+00   0.113653E-01  -0.349261E+02
   182   0.528692E+04   0.806708E+00   0.115053E-01  -0.341318E+02
   183   0.530872E+04   0.796620E+00   0.116462E-01  -0.333109E+02
   184   0.533013E+04   0.786756E+00   0.117882E-01  -0.324629E+02
   185   0.535108E+04   0.777263E+00   0.119310E-01  -0.315898E+02
   186   0.537120E+04   0.768001E+00   0.120749E-01  -0.306888E+02
   187   0.539115E+04   0.759111E+00   0.122196E-01  -0.297613E+02
   188   0.541056E+04   0.750579E+00   0.123653E-01  -0.288088E+02
   189   0.542936E+04   0.742444E+00   0.125120E-01  -0.278298E+02
   190   0.544797E+04   0.734758E+00   0.126595E-01  -0.268265E+02
   191   0.546567E+04   0.727546E+00   0.128080E-01  -0.257960E+02
   192   0.548296E+04   0.720831E+00   0.129573E-01  -0.247405E+02
   193   0.549961E+04   0.714658E+00   0.131076E-01  -0.236615E+02
   194   0.551586E+04   0.709057E+00   0.132587E-01  -0.225567E+02
   195   0.553147E+04   0.704066E+00   0.134107E-01  -0.214284E+02
   196   0.554645E+04   0.699722E+00   0.135636E-01  -0.202758E+02
   197   0.556095E+04   0.696070E+00   0.137173E-01  -0.191005E+02
   198   0.557488E+04   0.693133E+00   0.138719E-01  -0.179018E+02
   199   0.558825E+04   0.690948E+00   0.140273E-01  -0.166803E+02
   200   0.560106E+04   0.689544E+00   0.141835E-01  -0.154369E+02
   201   0.561324E+04   0.688982E+00   0.143405E-01  -0.141709E+02
   202   0.562488E+04   0.689269E+00   0.144983E-01  -0.128837E+02
   203   0.563591E+04   0.690465E+00   0.146569E-01  -0.115746E+02
   204   0.564626E+04   0.692591E+00   0.148163E-01  -0.102466E+02
   205   0.565609E+04   0.695693E+00   0.149764E-01  -0.889760E+01
   206   0.566526E+04   0.699808E+00   0.151372E-01  -0.752881E+01
   207   0.567392E+04   0.704958E+00   0.152988E-01  -0.614071E+01
   208   0.568186E+04   0.711196E+00   0.154611E-01  -0.473383E+01
   209   0.568922E+04   0.718545E+00   0.156240E-01  -0.330855E+01
   210   0.569600E+04   0.727056E+00   0.157877E-01  -0.186577E+01
   211   0.570219E+04   0.736761E+00   0.159520E-01  -0.405552E+00
   212   0.570764E+04   0.747690E+00   0.161170E-01   0.107116E+01
   213   0.571258E+04   0.759888E+00   0.162826E-01   0.256440E+01
   214   0.571685E+04   0.773348E+00   0.164488E-01   0.407297E+01
   215   0.572052E+04   0.788262E+00   0.166157E-01   0.559613E+01
   216   0.572352E+04   0.804445E+00   0.167831E-01   0.713439E+01
   217   0.572600E+04   0.822052E+00   0.169511E-01   0.868577E+01
   218   0.572779E+04   0.841083E+00   0.171196E-01   0.102505E+02
   219   0.572897E+04   0.861538E+00   0.172887E-01   0.118295E+02
   220   0.572953E+04   0.883564E+00   0.174583E-01   0.134183E+02
   221   0.572948E+04   0.907088E+00   0.176283E-01   0.150193E+02
   222   0.572882E+04   0.932257E+00   0.177989E-01   0.166308E+02
   223   0.572739E+04   0.959001E+00   0.179699E-01   0.182536E+02
   224   0.572549E+04   0.987320E+00   0.181414E-01   0.198840E+02
   225   0.572289E+04   0.101736E+01   0.183133E-01   0.215248E+02
   226   0.571968E+04   0.104913E+01   0.184856E-01   0.231724E+02
   227   0.571579E+04   0.108263E+01   0.186583E-01   0.248283E+02
   228   0.571134E+04   0.111785E+01   0.188314E-01   0.264908E+02
   229   0.570629E+04   0.115488E+01   0.190048E-01   0.281586E+02
   230   0.570056E+04   0.119371E+01   0.191785E-01   0.298324E+02
   231   0.569416E+04   0.123441E+01   0.193526E-01   0.315115E+02
   232   0.568723E+04   0.127692E+01   0.195270E-01   0.331944E+02
   233   0.567972E+04   0.132144E+01   0.197016E-01   0.348796E+02
   234   0.567148E+04   0.136783E+01   0.198765E-01   0.365679E+02
   235   0.566273E+04   0.141618E+01   0.200516E-01   0.382579E+02
   236   0.565333E+04   0.146646E+01   0.202269E-01   0.399494E+02
   237   0.564335E+04   0.151877E+01   0.204024E-01   0.416410E+02
   238   0.563278E+04   0.157318E+01   0.205781E-01   0.433327E+02
   239   0.562169E+04   0.162953E+01   0.207540E-01   0.450237E+02
   240   0.560986E+04   0.168790E+01   0.209299E-01   0.467117E+02
   241   0.559758E+04   0.174844E+01   0.211060E-01   0.483975E+02
   242   0.558470E+04   0.181101E+01   0.212822E-01   0.500804E+02
   243   0.557122E+04   0.187575E+01   0.214585E-01   0.517587E+02
   244   0.555714E+04   0.194258E+01   0.216348E-01   0.534333E+02
   245   0.554246E+04   0.201159E+01   0.218111E-01   0.551011E+02
   246   0.552725E+04   0.208276E+01   0.219875E-01   0.567636E+02
   247   0.551151E+04   0.215604E+01   0.221639E-01   0.584187E+02
   248   0.549517E+04   0.223178E+01   0.223402E-01   0.600662E+02
   249   0.547837E+04   0.230947E+01   0.225165E-01   0.617054E+02
   250   0.546097E+04   0.238955E+01   0.226927E-01   0.633349E+02
   251   0.544310E+04   0.247174E+01   0.228689E-01   0.649554E+02
   252   0.542456E+04   0.255623E+01   0.230449E-01   0.665653E+02
   253   0.540569E+04   0.264282E+01   0.232208E-01   0.681633E+02
   254   0.538622E+04   0.273180E+01   0.233966E-01   0.697493E+02
   255   0.536620E+04   0.282288E+01   0.235722E-01   0.713233E+02
   256   0.534571E+04   0.291641E+01   0.237476E-01   0.728854E+02
   257   0.532475E+04   0.301196E+01   0.239229E-01   0.744273E+02
   258   0.530326E+04   0.310990E+01   0.240979E-01   0.759615E+02
   259   0.528130E+04   0.321008E+01   0.242727E-01   0.774733E+02
   260   0.525895E+04   0.331251E+01   0.244472E-01   0.789772E+02
   261   0.523607E+04   0.341710E+01   0.246214E-01   0.804513E+02
   262   0.521267E+04   0.352409E+01   0.247954E-01   0.819175E+02
   263   0.518910E+04   0.363324E+01   0.249691E-01   0.833684E+02
   264   0.516493E+04   0.374464E+01   0.251424E-01   0.847966E+02
   265   0.514023E+04   0.385821E+01   0.253154E-01   0.861948E+02
   266   0.511523E+04   0.397416E+01   0.254880E-01   0.875850E+02
   267   0.508970E+04   0.409213E+01   0.256603E-01   0.889452E+02
   268   0.506379E+04   0.421248E+01   0.258322E-01   0.902901E+02
   269   0.503735E+04   0.433492E+01   0.260037E-01   0.916122E+02
   270   0.501067E+04   0.445952E+01   0.261747E-01   0.929115E+02
   271   0.498354E+04   0.458620E+01   0.263453E-01   0.941882E+02
   272   0.495617E+04   0.471527E+01   0.265155E-01   0.954349E+02
   273   0.492835E+04   0.484613E+01   0.266852E-01   0.966661E+02
   274   0.490023E+04   0.497937E+01   0.268544E-01   0.978601E+02
   275   0.487172E+04   0.511449E+01   0.270231E-01   0.990388E+02
   276   0.484299E+04   0.525170E+01   0.271913E-01   0.100180E+03
   277   0.481380E+04   0.539100E+01   0.273590E-01   0.101306E+03
   278   0.478438E+04   0.553232E+01   0.275262E-01   0.102395E+03
   279   0.475466E+04   0.567557E+01   0.276928E-01   0.103454E+03
