# beam00
#  May 2019 
#  For 2018 SPT-3G Data 
# Beam product computed from the last 5 Mars observations of 2018. Mars maps are made in source-centered coordinates. Spectra are corrected by the 15 arcsecond size of Mars, the 0.2 arcmin pixel window function, and the transfer function for the third order polynomial filter computed from mock observations. This beam is convolved with a 42 arcsecond Gaussian to account for pointing jitter in the field observations as determined from taking the cross spectra of the ten brightest point sources in the 2018 field observations of ID 47* to 57*. The jitter beam calculation is found by dividing the mean point source beam by the mean Mars beam, and fitting a Gaussian. The mean Gaussian across the three frequencies is used. The per-ell beam is a cubic interpolation between points from ell=50 to ell=20000 in bin size=50It is zero above ell=20000 and the constant at the lowest bin value below ell=50.The beam is normalized to 1 between ell=600 and ell=1000.
#  ell 90 150 220
1.424600000000000000e+04 9.962571647281585896e-03 5.793627019768614328e-02 1.075383842905018733e-01
1.424700000000000000e+04 9.952727578716917892e-03 5.791467008433796165e-02 1.075066541561777861e-01
1.424800000000000000e+04 9.942919349118974764e-03 5.789515180890997259e-02 1.074742871216231299e-01
1.424900000000000000e+04 9.933149575085186561e-03 5.787779411246025268e-02 1.074412650158259874e-01
1.425000000000000000e+04 9.923420873212992002e-03 5.786267573604687853e-02 1.074075696677745800e-01
1.425100000000000000e+04 9.913735267948097646e-03 5.784984544660772693e-02 1.073731908812761149e-01
1.425200000000000000e+04 9.904092415129378546e-03 5.783923211460006986e-02 1.073381503594149633e-01
1.425300000000000000e+04 9.894491378443984533e-03 5.783073463636093786e-02 1.073024777800945240e-01
1.425400000000000000e+04 9.884931221579067173e-03 5.782425190822741701e-02 1.072662028212182650e-01
1.425500000000000000e+04 9.875411008221783235e-03 5.781968282653657948e-02 1.072293551606896683e-01
1.425600000000000000e+04 9.865929802059289488e-03 5.781692628762548358e-02 1.071919644764122159e-01
1.425700000000000000e+04 9.856486666778734029e-03 5.781588118783120844e-02 1.071540604462893898e-01
1.425800000000000000e+04 9.847080666067268423e-03 5.781644642349079849e-02 1.071156727482245885e-01
1.425900000000000000e+04 9.837710863612056378e-03 5.781852089094135366e-02 1.070768310601213497e-01
1.426000000000000000e+04 9.828376323100240786e-03 5.782200348651992533e-02 1.070375650598830858e-01
1.426100000000000000e+04 9.819076108218981885e-03 5.782679310656357874e-02 1.069979044254133205e-01
1.426200000000000000e+04 9.809809282655431242e-03 5.783278864740937913e-02 1.069578788346154663e-01
1.426300000000000000e+04 9.800574910096745626e-03 5.783988900539441952e-02 1.069175179653930191e-01
1.426400000000000000e+04 9.791372054230074867e-03 5.784799307685573738e-02 1.068768514956494886e-01
1.426500000000000000e+04 9.782199778742574001e-03 5.785699975813042573e-02 1.068359091032882596e-01
1.426600000000000000e+04 9.773057147321396326e-03 5.786680794555552898e-02 1.067947204662128419e-01
1.426700000000000000e+04 9.763943223653693410e-03 5.787731653546812627e-02 1.067533152623266895e-01
1.426800000000000000e+04 9.754857071426627224e-03 5.788842442420531059e-02 1.067117231695333679e-01
1.426900000000000000e+04 9.745797754327340662e-03 5.790003050810410556e-02 1.066699738657361785e-01
1.427000000000000000e+04 9.736764336042993961e-03 5.791203368350159725e-02 1.066280970288386865e-01
1.427100000000000000e+04 9.727755880260740423e-03 5.792433284673486477e-02 1.065861223367443461e-01
1.427200000000000000e+04 9.718771450667733347e-03 5.793682689414098030e-02 1.065440794673566671e-01
1.427300000000000000e+04 9.709810110951124298e-03 5.794941472205698135e-02 1.065019980985790204e-01
1.427400000000000000e+04 9.700870924798068312e-03 5.796199522681996091e-02 1.064599079083149435e-01
1.427500000000000000e+04 9.691952955895720423e-03 5.797446730476698423e-02 1.064178385744679184e-01
1.427600000000000000e+04 9.683055267931232196e-03 5.798672985223510962e-02 1.063758197749413437e-01
1.427700000000000000e+04 9.674176924591758667e-03 5.799868176556141619e-02 1.063338811876387430e-01
1.427800000000000000e+04 9.665316989564454869e-03 5.801022194108297614e-02 1.062920524904635844e-01
1.427900000000000000e+04 9.656474526536467165e-03 5.802124927513682001e-02 1.062503633613192666e-01
1.428000000000000000e+04 9.647648599194960997e-03 5.803166266406006857e-02 1.062088434781093688e-01
1.428100000000000000e+04 9.638838271227082727e-03 5.804136100418976624e-02 1.061675225187372895e-01
1.428200000000000000e+04 9.630042606319987389e-03 5.805024319186298520e-02 1.061264301611065108e-01
1.428300000000000000e+04 9.621260668160826549e-03 5.805820812341676990e-02 1.060855960831204592e-01
1.428400000000000000e+04 9.612491520436756975e-03 5.806515469518822026e-02 1.060450499626826859e-01
1.428500000000000000e+04 9.603734226834931970e-03 5.807098180351440153e-02 1.060048214776966036e-01
1.428600000000000000e+04 9.594987851042504831e-03 5.807558834473236509e-02 1.059649403060656803e-01
1.428700000000000000e+04 9.586251456746627125e-03 5.807887321517918311e-02 1.059254361256933841e-01
1.428800000000000000e+04 9.577524107634457357e-03 5.808073531119193472e-02 1.058863386144832386e-01
1.428900000000000000e+04 9.568804867393145355e-03 5.808107352910767823e-02 1.058476774503386425e-01
1.429000000000000000e+04 9.560092799709842687e-03 5.807978676526347195e-02 1.058094823111630639e-01
1.429100000000000000e+04 9.551386968271711325e-03 5.807677391599642275e-02 1.057717828748600264e-01
1.429200000000000000e+04 9.542686436765895897e-03 5.807193387764354731e-02 1.057346088193329425e-01
1.429300000000000000e+04 9.533990268879556640e-03 5.806516554654195944e-02 1.056979898224853359e-01
1.429400000000000000e+04 9.525297528299843386e-03 5.805636781902868970e-02 1.056619555622206330e-01
1.429500000000000000e+04 9.516607278713909435e-03 5.804543959144081722e-02 1.056265357164422741e-01
1.429600000000000000e+04 9.507918583808913290e-03 5.803227976011543499e-02 1.055917599630538106e-01
1.429700000000000000e+04 9.499230507272006518e-03 5.801678722138958744e-02 1.055576579799586412e-01
1.429800000000000000e+04 9.490542112790338949e-03 5.799886087160033288e-02 1.055242594450602478e-01
1.429900000000000000e+04 9.481852464051067353e-03 5.797839960708475737e-02 1.054915940362621124e-01
1.430000000000000000e+04 9.473160624741346764e-03 5.795530232417996086e-02 1.054596914314677170e-01
1.430100000000000000e+04 9.464465926921928132e-03 5.792950360869860565e-02 1.054285716509044263e-01
1.430200000000000000e+04 9.455768776147977298e-03 5.790108080435622806e-02 1.053982160840954696e-01
1.430300000000000000e+04 9.447069846348249075e-03 5.787014694434392675e-02 1.053685964628879174e-01
1.430400000000000000e+04 9.438369811451510424e-03 5.783681506185284898e-02 1.053396845191289233e-01
1.430500000000000000e+04 9.429669345386516160e-03 5.780119819007410037e-02 1.053114519846655300e-01
1.430600000000000000e+04 9.420969122082034977e-03 5.776340936219885591e-02 1.052838705913449052e-01
1.430700000000000000e+04 9.412269815466823425e-03 5.772356161141822817e-02 1.052569120710141609e-01
1.430800000000000000e+04 9.403572099469639789e-03 5.768176797092334357e-02 1.052305481555203953e-01
1.430900000000000000e+04 9.394876648019252763e-03 5.763814147390537018e-02 1.052047505767107760e-01
1.431000000000000000e+04 9.386184135044413693e-03 5.759279515355539281e-02 1.051794910664323041e-01
1.431100000000000000e+04 9.377495234473894742e-03 5.754584204306460032e-02 1.051547413565322026e-01
1.431200000000000000e+04 9.368810620236447256e-03 5.749739517562408447e-02 1.051304731788575281e-01
1.431300000000000000e+04 9.360130966260839930e-03 5.744756758442499944e-02 1.051066582652553788e-01
1.431400000000000000e+04 9.351456946475829313e-03 5.739647230265849248e-02 1.050832683475729640e-01
1.431500000000000000e+04 9.342789234810180629e-03 5.734422236351566921e-02 1.050602751576572985e-01
1.431600000000000000e+04 9.334128505192648695e-03 5.729093080018767686e-02 1.050376504273555223e-01
1.431700000000000000e+04 9.325475431552002203e-03 5.723671064586564883e-02 1.050153658885147751e-01
1.431800000000000000e+04 9.316830687816997705e-03 5.718167493374073929e-02 1.049933932729821690e-01
1.431900000000000000e+04 9.308194947916396955e-03 5.712593669700406079e-02 1.049717043126047744e-01
1.432000000000000000e+04 9.299568885778959973e-03 5.706960896884674672e-02 1.049502707392297313e-01
1.432100000000000000e+04 9.290953175333450248e-03 5.701280478245994432e-02 1.049290642847041655e-01
