# README: 
# 
# This list was generated by hand by Tom C. on 5Mar19. The input map was
# Daniel D's 2018 coadd lpf9000_tonly_0.5res.g3. The maps were
# isotropically high-pass filtered (with a filter that would have been
# optimal for a map with CMB, white noise, and Gaussian beams). All
# sources are shown that were detected in any band at at least 10
# sigma. This threshold is roughly 10, 10, and 40 mJy at 90, 150, 220
# GHz. The flux measurements are only accurate to ~10% because we don't
# have proper beam measurements yet.
# 
# All detections are listed here, regardless of robustness. I (TC)
# have visually inspected all detections, and any source that appears to
# be spurious (almost always a filtering wing from a brighter sources)
# has been given the "bad flag" value of 1.
# 
# Sources outside the uniform-coverage region have had their
# signal-to-noise and flux measurements rolled off by the apodization
# mask, so sources near the edges of the map should not be used for
# any flux comparisons to other lists or catalogs.
# 
# This file is not in the format expected by the mask constructor in 3g
# mapmaking. It is intended to be used as a resource to build such
# lists.
# 
# The source finding and flagging was done in IDL on spt.uchicago.edu,
# and the IDL code used is in the tar file in this directory
# initial_source_finding_in_idl_docs.tar.gz.


# RA [deg]  dec [deg]  SN90  S90 [mJy]  SN150  S150 [mJy]  SN220  S220 [mJy]  bad_flag
 330.292   -61.542    29.864    34.139    22.859    28.363       NaN       NaN         0
 330.410   -56.776    13.884    15.872    10.090    12.520       NaN       NaN         0
 330.424   -46.533    13.065    14.935       NaN       NaN       NaN       NaN         0
 330.443   -64.957    15.412    17.618       NaN       NaN       NaN       NaN         0
 330.541   -49.428    45.147    51.609    33.082    41.048       NaN       NaN         0
 330.581   -69.647    10.426    11.919       NaN       NaN       NaN       NaN         1
 330.671   -51.298       NaN       NaN       NaN       NaN    10.662    44.360         0
 330.721   -56.597    27.037    30.907    22.157    27.492       NaN       NaN         0
 330.749   -49.623    48.840    55.831    34.225    42.466       NaN       NaN         0
 330.809   -61.540    12.943    14.795       NaN       NaN       NaN       NaN         1
 330.813   -61.465    14.345    16.398    10.966    13.607       NaN       NaN         1
 330.879   -61.581    10.487    11.988       NaN       NaN       NaN       NaN         1
 330.973   -47.774    12.978    14.835       NaN       NaN       NaN       NaN         0
 331.003   -61.505   215.753   246.636   172.481   214.015    39.338   163.674         0
 331.176   -58.117    28.128    32.154    25.206    31.276       NaN       NaN         0
 331.192   -61.467    15.257    17.441    10.697    13.273       NaN       NaN         1
 331.201   -61.543    12.289    14.048    11.362    14.098       NaN       NaN         1
 331.266   -55.300    12.275    14.032       NaN       NaN       NaN       NaN         0
 331.330   -42.368    34.773    39.750    28.197    34.987       NaN       NaN         0
 331.444   -53.740    11.181    12.782       NaN       NaN       NaN       NaN         1
 331.467   -53.814    10.507    12.011       NaN       NaN       NaN       NaN         1
 331.569   -53.815    13.525    15.461       NaN       NaN       NaN       NaN         1
 331.577   -53.739    12.882    14.726       NaN       NaN       NaN       NaN         1
 331.823   -63.425    29.459    33.676    25.556    31.710       NaN       NaN         0
 331.855   -45.729    29.192    33.370    20.855    25.877       NaN       NaN         0
 331.912   -57.563    12.938    14.790       NaN       NaN       NaN       NaN         0
 331.918   -53.718    33.893    38.744    20.317    25.210       NaN       NaN         1
 331.926   -53.778   534.333   610.818   392.699   487.262    87.800   365.306         0
 331.931   -53.840    35.097    40.121    22.344    27.724       NaN       NaN         1
 332.032   -45.162    36.329    41.529    29.984    37.205       NaN       NaN         0
 332.087   -64.070    71.979    82.282    69.871    86.696    15.696    65.306         0
 332.148   -57.446       NaN       NaN    16.036    19.898    21.823    90.797         0
 332.203   -63.428    97.209   111.124    75.817    94.074    14.318    59.573         0
 332.254   -68.102    23.324    26.663    18.415    22.850       NaN       NaN         0
 332.291   -53.813    13.191    15.080       NaN       NaN       NaN       NaN         1
 332.297   -53.742    13.519    15.454       NaN       NaN       NaN       NaN         1
 332.314   -47.172    79.593    90.986    76.783    95.272    26.088   108.544         0
 332.478   -41.618    13.740    16.142       NaN       NaN       NaN       NaN         0
 332.559   -50.522    29.584    33.818    22.495    27.911       NaN       NaN         0
 332.593   -45.721    11.976    13.690       NaN       NaN       NaN       NaN         0
 332.628   -55.147    36.679    41.929    28.248    35.051       NaN       NaN         0
 332.662   -50.452    63.408    72.485    57.261    71.050    15.657    65.143         0
 332.891   -48.853   133.306   152.388   105.482   130.883    25.297   105.251         0
 332.955   -45.332    19.003    21.723    11.984    14.869       NaN       NaN         0
 333.006   -70.649    18.042    20.624    17.194    21.334       NaN       NaN         0
 333.007   -62.334    14.186    16.217    12.599    15.633       NaN       NaN         0
 333.360   -58.424    10.037    11.474       NaN       NaN       NaN       NaN         0
 333.400   -63.498    68.256    78.026    43.846    54.404       NaN       NaN         0
 333.417   -44.951    15.745    17.999       NaN       NaN       NaN       NaN         0
 333.567   -44.090    25.866    29.569    18.685    23.184       NaN       NaN         0
 333.679   -59.598    12.723    14.544       NaN       NaN       NaN       NaN         0
 333.735   -66.851       NaN       NaN       NaN       NaN    13.954    58.056         0
 333.941   -47.249    11.424    13.059    10.455    12.972       NaN       NaN         0
 333.942   -66.152    30.937    35.366    23.444    29.090       NaN       NaN         0
 334.095   -52.636    17.025    19.462    10.439    12.953       NaN       NaN         0
 334.177   -56.628    15.586    17.817    13.612    16.890       NaN       NaN         0
 334.226   -45.368    21.038    24.050    13.954    17.315       NaN       NaN         0
 334.461   -70.741   154.452   176.560   119.351   148.091    25.984   108.110         0
 334.566   -70.135    17.231    19.697    16.453    20.415       NaN       NaN         0
 334.572   -50.648    21.935    25.075    14.268    17.703       NaN       NaN         0
 334.608   -64.906    15.108    17.270    11.281    13.998       NaN       NaN         0
 334.752   -70.710    10.781    12.324       NaN       NaN       NaN       NaN         1
 334.769   -69.737    13.487    15.418    10.305    12.786       NaN       NaN         0
 334.912   -48.411    18.587    21.247    14.250    17.681       NaN       NaN         0
 334.929   -52.908    25.242    28.855    19.095    23.693       NaN       NaN         0
 334.971   -63.561    35.736    40.851    24.431    30.314       NaN       NaN         0
 335.203   -43.754    23.425    26.778    19.806    24.575       NaN       NaN         0
 335.365   -52.428    16.408    18.757    12.337    15.308       NaN       NaN         0
 335.676   -45.955       NaN       NaN    10.693    13.268    12.956    53.904         0
 335.758   -63.649    13.322    15.229    11.312    14.036       NaN       NaN         0
 335.808   -45.408    12.738    14.561       NaN       NaN       NaN       NaN         0
 335.989   -48.475    22.958    26.245    18.926    23.484       NaN       NaN         0
 336.168   -46.675    42.312    48.368    34.553    42.874       NaN       NaN         0
 336.256   -42.513    22.152    25.323    16.187    20.084       NaN       NaN         0
 336.634   -43.287    13.465    15.392    10.240    12.706       NaN       NaN         0
 336.655   -69.131    10.958    12.527       NaN       NaN       NaN       NaN         1
 336.666   -53.285    13.367    15.280       NaN       NaN       NaN       NaN         0
 336.684   -69.206    10.396    11.884       NaN       NaN       NaN       NaN         1
 336.745   -62.631    12.561    14.359       NaN       NaN       NaN       NaN         0
 336.752   -52.560    15.513    17.733       NaN       NaN       NaN       NaN         0
 336.779   -52.334    41.035    46.908    28.626    35.520       NaN       NaN         0
 337.020   -56.000    12.356    14.125    12.022    14.917       NaN       NaN         0
 337.030   -69.208       NaN       NaN    17.025    21.125       NaN       NaN         1
 337.053   -69.123       NaN       NaN    15.913    19.745       NaN       NaN         1
 337.228   -69.260       NaN       NaN    10.305    12.787       NaN       NaN         1
 337.258   -69.226    24.939    28.509       NaN       NaN       NaN       NaN         1
 337.259   -69.111    22.013    25.164       NaN       NaN       NaN       NaN         1
 337.262   -69.169   389.568   445.331   311.606   386.641    67.057   279.004         0
 337.491   -69.131       NaN       NaN    15.902    19.731       NaN       NaN         1
 337.500   -69.208       NaN       NaN    17.141    21.269       NaN       NaN         1
 337.551   -63.178    26.015    29.738    18.020    22.359       NaN       NaN         0
 337.576   -61.784    19.246    22.001    18.984    23.555       NaN       NaN         0
 337.605   -44.241    15.597    17.830    10.885    13.506       NaN       NaN         1
 337.607   -44.324    17.343    19.825    11.780    14.617       NaN       NaN         1
 337.670   -54.256    12.460    14.244    10.618    13.175       NaN       NaN         0
 337.683   -63.490    32.812    37.509    24.384    30.256       NaN       NaN         0
 337.729   -44.283   224.504   256.639   190.226   236.033    48.988   203.824         0
 337.769   -66.312    23.207    26.529    16.238    20.149       NaN       NaN         0
 337.788   -62.521    94.234   107.723    77.372    96.004    17.383    72.326         0
 337.857   -44.241    13.317    15.223    11.132    13.812       NaN       NaN         1
 337.858   -44.324    15.334    17.529       NaN       NaN       NaN       NaN         1
 337.892   -45.024    17.300    19.777    11.995    14.884       NaN       NaN         0
 337.919   -47.002    16.330    18.667    10.233    12.697       NaN       NaN         0
 338.038   -66.155    29.301    33.495    28.376    35.209       NaN       NaN         0
 338.264   -54.487    15.183    17.356    10.390    12.892       NaN       NaN         0
 338.330   -48.636       NaN       NaN    11.020    13.674       NaN       NaN         1
 338.422   -48.567    17.979    20.553       NaN       NaN       NaN       NaN         1
 338.426   -48.643    16.545    18.913       NaN       NaN       NaN       NaN         1
 338.446   -55.150       NaN       NaN    10.146    12.589       NaN       NaN         0
 338.498   -48.573       NaN       NaN    12.932    16.046       NaN       NaN         1
 338.508   -48.639       NaN       NaN    12.235    15.181       NaN       NaN         1
 338.509   -48.058    21.795    24.915    19.230    23.861       NaN       NaN         0
 338.589   -54.099    49.499    56.585    37.278    46.255    10.135    42.167         0
 338.590   -44.022    37.298    42.637    30.001    37.225       NaN       NaN         0
 338.797   -48.542    43.285    49.481    28.458    35.311       NaN       NaN         1
 338.800   -48.605   654.748   748.469   519.529   644.632   127.129   528.941         0
 338.803   -48.667    43.945    50.235    29.023    36.011       NaN       NaN         1
 338.872   -63.923    18.728    21.409    15.732    19.521       NaN       NaN         0
 338.936   -66.964    21.238    24.278    16.493    20.465       NaN       NaN         0
 338.964   -51.532    23.258    26.588    17.291    21.455       NaN       NaN         0
 339.017   -50.925    12.217    13.965    12.530    15.547       NaN       NaN         0
 339.026   -44.936    16.406    18.754    13.999    17.370       NaN       NaN         0
 339.047   -62.607    26.482    30.273    21.877    27.146       NaN       NaN         0
 339.081   -48.572       NaN       NaN    10.279    12.754       NaN       NaN         1
 339.113   -48.638       NaN       NaN    14.531    18.030       NaN       NaN         1
 339.150   -48.566    15.977    18.264       NaN       NaN       NaN       NaN         1
 339.155   -48.642    17.835    20.388       NaN       NaN       NaN       NaN         1
 339.173   -44.663    20.368    23.284    14.028    17.406       NaN       NaN         0
 339.305   -45.773    18.464    21.108    16.387    20.333       NaN       NaN         0
 339.354   -48.640    10.292    11.766       NaN       NaN       NaN       NaN         1
 339.601   -51.241    38.037    43.482    29.442    36.532       NaN       NaN         0
 339.625   -56.984    15.561    17.789    11.957    14.836       NaN       NaN         1
 339.635   -57.059    15.256    17.440       NaN       NaN       NaN       NaN         1
 339.698   -56.936    10.157    11.610       NaN       NaN       NaN       NaN         1
 339.770   -55.433    42.138    48.169    27.873    34.585       NaN       NaN         0
 339.802   -57.019   230.195   263.145   167.880   208.306    33.800   140.631         0
 339.868   -54.988    10.164    11.619       NaN       NaN       NaN       NaN         0
 339.892   -56.791    12.688    14.505    11.980    14.864       NaN       NaN         0
 339.959   -57.067    14.423    16.487       NaN       NaN       NaN       NaN         1
 339.966   -56.977    15.618    17.854    10.324    12.810       NaN       NaN         1
 340.067   -52.690    18.154    20.753    15.757    19.552       NaN       NaN         0
 340.070   -52.535    19.114    21.850    12.970    16.093       NaN       NaN         0
 340.291   -46.591    10.151    11.604       NaN       NaN       NaN       NaN         0
 340.434   -68.030    14.992    17.138    11.373    14.112       NaN       NaN         0
 340.606   -60.740    21.875    25.006    15.366    19.067       NaN       NaN         0
 340.648   -42.082    27.989    31.995    20.285    25.169       NaN       NaN         0
 340.662   -46.892    11.809    13.500    23.691    29.396    12.984    54.023         0
 340.713   -53.785    10.209    11.670       NaN       NaN       NaN       NaN         0
 340.789   -62.848   110.920   126.797    87.363   108.400    15.788    65.690         0
 340.789   -46.094    10.494    11.996       NaN       NaN       NaN       NaN         0
 340.973   -56.943    41.268    47.175    28.635    35.530       NaN       NaN         0
 341.035   -68.860    11.563    13.218       NaN       NaN       NaN       NaN         0
 341.240   -49.536    29.854    34.128    17.599    21.837       NaN       NaN         0
 341.269   -43.541    25.680    29.356    20.108    24.950       NaN       NaN         0
 341.283   -41.422    16.004    21.506    12.491    18.219       NaN       NaN         0
 341.376   -59.922    14.743    16.853       NaN       NaN       NaN       NaN         0
 341.468   -56.858    18.762    21.447    12.886    15.989       NaN       NaN         0
 341.479   -41.704    12.369    14.139       NaN       NaN       NaN       NaN         0
 341.567   -56.132   158.558   181.254   118.737   147.329    25.584   106.448         0
 341.920   -44.626    13.655    15.609       NaN       NaN       NaN       NaN         0
 342.001   -48.907    48.230    55.133    41.308    51.255    11.870    49.389         0
 342.108   -44.537    10.084    11.528       NaN       NaN       NaN       NaN         1
 342.151   -59.566    16.140    18.451    12.802    15.884       NaN       NaN         0
 342.154   -43.054    13.869    15.854    12.336    15.307       NaN       NaN         0
 342.590   -42.112    19.408    22.186    17.849    22.147       NaN       NaN         0
 342.600   -54.217    10.956    12.524       NaN       NaN       NaN       NaN         0
 342.867   -44.829    10.306    11.781       NaN       NaN       NaN       NaN         0
 342.901   -54.886    26.451    30.238    18.979    23.550       NaN       NaN         0
 342.911   -58.020    34.760    39.736    27.087    33.609       NaN       NaN         0
 343.062   -57.965    10.864    12.420       NaN       NaN       NaN       NaN         0
 343.429   -59.712    11.629    13.294       NaN       NaN       NaN       NaN         0
 343.429   -57.836    11.940    13.649       NaN       NaN       NaN       NaN         0
 343.454   -58.771    18.945    21.657    14.836    18.409       NaN       NaN         0
 343.488   -50.423    13.304    15.208       NaN       NaN       NaN       NaN         0
 343.588   -51.816    39.664    45.341    34.680    43.031       NaN       NaN         0
 343.647   -41.671    93.998   108.143    63.334    79.090    14.273    59.766         0
 343.684   -42.062    18.160    20.759       NaN       NaN       NaN       NaN         0
 343.737   -42.383    10.398    11.886       NaN       NaN       NaN       NaN         0
 343.739   -59.434   103.764   118.617    80.056    99.334    15.359    63.905         0
 343.874   -69.103    14.311    16.359    11.551    14.333       NaN       NaN         0
 343.953   -52.766    34.520    39.461    20.924    25.962       NaN       NaN         0
 343.957   -65.619    22.109    25.273    18.576    23.049       NaN       NaN         0
 344.038   -42.289    14.744    16.855    10.350    12.843       NaN       NaN         0
 344.050   -71.252    16.077    20.910    10.413    14.700       NaN       NaN         0
 344.109   -65.554    41.693    47.661    29.294    36.348       NaN       NaN         0
 344.124   -43.007    14.531    16.610    11.864    14.721       NaN       NaN         0
 344.166   -46.299    24.003    27.439    16.658    20.670       NaN       NaN         0
 344.188   -51.983    17.520    20.028       NaN       NaN       NaN       NaN         0
 344.559   -68.422    13.089    14.963       NaN       NaN       NaN       NaN         0
 344.574   -55.427    14.287    16.332    12.575    15.603       NaN       NaN         0
 344.646   -70.237    91.041   104.073    64.455    79.976    11.682    48.603         0
 344.711   -52.349    21.477    24.552    17.598    21.836       NaN       NaN         0
 344.855   -48.312    33.247    38.006    30.747    38.151       NaN       NaN         0
 344.861   -44.909    12.683    14.498    10.580    13.128       NaN       NaN         0
 344.988   -51.060    13.466    15.393    12.304    15.267       NaN       NaN         0
 345.024   -43.008    22.143    25.312    19.119    23.723       NaN       NaN         0
 345.203   -60.541    13.327    15.235       NaN       NaN       NaN       NaN         0
 345.229   -52.902    20.752    23.723    16.832    20.885       NaN       NaN         0
 345.397   -64.067    39.104    44.701    33.113    41.087       NaN       NaN         0
 345.404   -59.224    37.047    42.350    29.954    37.167       NaN       NaN         0
 345.493   -53.732    15.160    17.330       NaN       NaN       NaN       NaN         0
 345.609   -64.345    10.700    12.232       NaN       NaN       NaN       NaN         0
 345.661   -45.573    72.438    82.807    59.847    74.258    15.346    63.849         0
 345.717   -68.169    10.032    11.468       NaN       NaN       NaN       NaN         1
 345.744   -58.377    13.294    15.197    10.400    12.904       NaN       NaN         0
 345.863   -42.449    17.520    20.027    11.815    14.660       NaN       NaN         0
 345.939   -68.122   138.853   158.729    95.172   118.090    19.538    81.293         0
 345.960   -54.115    81.246    92.876    62.767    77.882    15.479    64.404         0
 346.140   -50.663    10.345    11.826       NaN       NaN       NaN       NaN         0
 346.296   -42.326    26.443    30.229    23.904    29.661       NaN       NaN         0
 346.438   -71.046    23.056    26.356    15.161    18.812       NaN       NaN         0
 346.715   -67.106    12.926    14.776       NaN       NaN       NaN       NaN         0
 346.920   -52.847    14.239    16.277       NaN       NaN       NaN       NaN         0
 346.962   -41.555    29.369    35.951    20.263    26.924       NaN       NaN         0
 347.008   -52.320    20.542    23.482    18.181    22.559       NaN       NaN         0
 347.080   -66.201    10.211    11.672       NaN       NaN       NaN       NaN         0
 347.082   -45.935    10.791    12.336       NaN       NaN       NaN       NaN         1
 347.146   -58.784    11.965    13.677    10.872    13.490       NaN       NaN         0
 347.216   -45.972   148.525   169.785   132.185   164.016    33.513   139.438         0
 347.253   -50.855    68.749    78.589    58.422    72.490    13.692    56.968         0
 347.444   -43.435       NaN       NaN       NaN       NaN    11.820    49.180         0
 347.499   -61.145    17.244    19.712       NaN       NaN       NaN       NaN         0
 347.624   -59.689    19.156    21.898    10.133    12.573       NaN       NaN         0
 347.763   -60.756    22.946    26.230    19.921    24.717       NaN       NaN         0
 347.787   -56.413    13.161    15.045       NaN       NaN       NaN       NaN         0
 347.930   -62.842    14.316    16.365    10.250    12.718       NaN       NaN         0
 348.142   -65.564    31.786    36.336    26.482    32.858       NaN       NaN         0
 348.211   -53.600    11.044    12.624       NaN       NaN       NaN       NaN         0
 348.223   -44.885    36.710    41.965    24.253    30.093       NaN       NaN         0
 348.227   -41.461    10.730    14.037       NaN       NaN       NaN       NaN         0
 348.250   -66.123    41.458    47.392    27.279    33.848       NaN       NaN         0
 348.265   -48.878    10.255    11.723       NaN       NaN       NaN       NaN         0
 348.335   -66.626    18.716    21.396    14.832    18.404       NaN       NaN         0
 348.354   -53.726    20.398    23.318    12.809    15.894       NaN       NaN         0
 348.386   -52.007    34.760    39.735    31.909    39.592       NaN       NaN         0
 348.442   -44.280    20.922    23.917    17.513    21.730       NaN       NaN         0
 348.459   -47.492    19.770    22.600    10.669    13.238       NaN       NaN         0
 348.473   -67.934    19.523    22.318    15.896    19.724       NaN       NaN         0
 348.534   -44.937   109.766   125.478    74.507    92.449    14.836    61.727         0
 348.549   -56.291    24.620    28.145    19.278    23.920       NaN       NaN         0
 348.588   -63.003    12.252    14.006       NaN       NaN       NaN       NaN         0
 348.593   -63.299    13.347    15.258       NaN       NaN       NaN       NaN         0
 348.614   -47.223    12.666    14.479       NaN       NaN       NaN       NaN         0
 348.634   -43.963    19.443    22.226    14.466    17.950       NaN       NaN         0
 348.785   -50.273    13.999    16.003    10.097    12.528       NaN       NaN         1
 348.788   -50.355    15.764    18.020       NaN       NaN       NaN       NaN         1
 348.927   -50.316   245.010   280.081   192.589   238.965    46.206   192.247         0
 348.966   -50.221    10.823    12.373       NaN       NaN       NaN       NaN         1
 349.039   -42.595    19.734    22.558    28.584    35.466    32.413   134.861         0
 349.066   -50.361    15.385    17.587    10.084    12.513       NaN       NaN         1
 349.068   -50.277    15.329    17.523    11.885    14.747       NaN       NaN         1
 349.082   -43.638    75.619    86.443    52.710    65.403       NaN       NaN         0
 349.108   -47.502    13.401    15.319    10.186    12.638       NaN       NaN         0
 349.213   -55.131    19.997    22.860    11.944    14.820       NaN       NaN         0
 349.250   -52.172    10.578    12.092       NaN       NaN       NaN       NaN         0
 349.309   -60.344    10.494    11.997       NaN       NaN       NaN       NaN         0
 349.322   -62.257    56.966    65.120    44.137    54.766    10.046    41.799         0
 349.376   -45.581    10.578    12.092       NaN       NaN       NaN       NaN         0
 349.411   -67.862    12.994    14.854       NaN       NaN       NaN       NaN         1
 349.431   -67.942    12.063    13.790       NaN       NaN       NaN       NaN         1
 349.477   -42.239    11.080    12.666    10.324    12.810       NaN       NaN         0
 349.591   -42.380    15.878    18.151    22.621    28.068    29.190   121.448         0
 349.628   -48.319    86.035    98.350    68.658    85.190    16.791    69.863         0
 349.657   -67.897   180.174   205.964   141.412   175.464    31.983   133.071         0
 349.677   -43.236    17.463    19.963    13.543    16.804       NaN       NaN         0
 349.721   -42.249       NaN       NaN    12.862    15.960    13.858    57.660         0
 349.771   -42.121    60.637    69.317    49.900    61.915    14.747    61.359         0
 349.810   -53.536    29.320    33.517    23.171    28.751       NaN       NaN         0
 349.835   -42.267       NaN       NaN    14.903    18.492    17.600    73.227         0
 349.878   -67.851    11.959    13.671       NaN       NaN       NaN       NaN         1
 349.897   -67.934    11.824    13.517       NaN       NaN       NaN       NaN         1
 349.930   -46.843    42.201    48.242    30.788    38.202       NaN       NaN         0
 350.084   -46.431    10.825    12.374    11.087    13.757       NaN       NaN         0
 350.148   -47.179    26.599    30.407    20.521    25.463       NaN       NaN         0
 350.193   -53.165    28.818    32.943    24.520    30.425       NaN       NaN         0
 350.244   -54.046    50.147    57.325    36.871    45.750       NaN       NaN         0
 350.428   -64.633    63.217    72.266    57.744    71.649    14.125    58.769         0
 350.440   -56.346    10.728    12.263       NaN       NaN       NaN       NaN         0
 350.630   -55.863    18.508    21.157    14.767    18.323       NaN       NaN         0
 350.661   -42.355    21.563    24.649    16.865    20.926       NaN       NaN         0
 350.713   -53.370    32.151    36.753    23.506    29.167       NaN       NaN         0
 350.760   -52.366    10.190    11.648       NaN       NaN       NaN       NaN         0
 350.803   -48.794    15.176    17.349       NaN       NaN       NaN       NaN         0
 350.852   -47.511    10.235    11.700       NaN       NaN       NaN       NaN         1
 350.933   -47.510    10.927    12.491       NaN       NaN       NaN       NaN         1
 351.003   -63.756    16.430    18.782    15.548    19.292       NaN       NaN         0
 351.076   -47.506    10.724    12.260       NaN       NaN       NaN       NaN         1
 351.142   -42.851    12.783    14.613       NaN       NaN       NaN       NaN         0
 351.296   -56.944    16.641    19.023    10.228    12.691       NaN       NaN         0
 351.358   -48.011    92.015   105.186    78.881    97.876    21.120    87.874         0
 351.393   -71.161    14.484    17.201    10.155    13.089       NaN       NaN         0
 351.602   -41.681    29.112    33.407    23.693    29.511       NaN       NaN         0
 351.660   -61.102    56.485    64.570    58.161    72.166    14.345    59.684         0
 351.668   -68.670    12.931    14.782    11.632    14.433       NaN       NaN         0
 351.811   -43.420    12.356    14.125    12.520    15.535       NaN       NaN         0
 351.903   -57.164    10.786    12.330    10.036    12.453       NaN       NaN         0
 351.916   -45.189    52.147    59.611    35.498    44.045       NaN       NaN         0
 351.929   -52.430    15.502    17.721    11.472    14.234       NaN       NaN         0
 351.944   -66.741    81.907    93.631    60.876    75.535    11.390    47.390         0
 351.973   -47.545       NaN       NaN    19.128    23.734       NaN       NaN         1
 351.975   -47.476       NaN       NaN    18.648    23.139       NaN       NaN         1
 352.014   -45.487    14.425    16.490    11.573    14.359       NaN       NaN         0
 352.015   -41.307    27.740    41.211    23.999    38.699       NaN       NaN         0
 352.016   -56.505    16.907    19.327    13.709    17.010       NaN       NaN         0
 352.196   -49.885    20.293    23.197    10.786    13.383       NaN       NaN         1
 352.199   -49.968       NaN       NaN    11.997    14.886       NaN       NaN         1
 352.206   -49.985    18.377    21.007       NaN       NaN       NaN       NaN         1
 352.319   -47.511  1231.773  1408.089   863.209  1071.072   189.060   786.616         0
 352.321   -47.457    78.954    90.256    48.173    59.773       NaN       NaN         1
 352.322   -47.565    80.665    92.212    47.416    58.834       NaN       NaN         1
 352.322   -49.832    12.919    14.769       NaN       NaN       NaN       NaN         1
 352.329   -49.933   302.802   346.145   244.526   303.408    61.291   255.014         0
 352.358   -50.032    10.309    11.785       NaN       NaN       NaN       NaN         1
 352.460   -49.982    17.772    20.316    13.481    16.727       NaN       NaN         1
 352.470   -49.892    19.681    22.498    14.613    18.131       NaN       NaN         1
 352.652   -45.673    83.734    95.720    71.525    88.748    19.051    79.265         0
 352.655   -65.327    16.333    18.671    14.248    17.679       NaN       NaN         0
 352.664   -47.544       NaN       NaN    19.299    23.946       NaN       NaN         1
 352.670   -47.477       NaN       NaN    21.179    26.280       NaN       NaN         1
 352.954   -41.359    10.522    14.879       NaN       NaN       NaN       NaN         1
 352.956   -41.275    11.533    17.786       NaN       NaN       NaN       NaN         1
 353.073   -41.320   157.057   231.168   133.544   213.354    35.213   188.641         0
 353.075   -70.964    13.403    15.322    10.406    12.912       NaN       NaN         0
 353.195   -41.358    10.488    14.939       NaN       NaN       NaN       NaN         1
 353.214   -58.427    23.696    27.088    16.611    20.611       NaN       NaN         0
 353.319   -54.100       NaN       NaN    10.992    13.639    10.909    45.388         0
 353.383   -42.307    15.679    17.923    10.841    13.451       NaN       NaN         0
 353.603   -41.434    18.611    24.798     9.671    13.987       NaN       NaN         0
 353.607   -47.511    12.301    14.062       NaN       NaN       NaN       NaN         1
 353.680   -52.858   104.573   119.541    65.485    81.253    13.323    55.433         0
 353.749   -47.551    18.319    20.941    18.134    22.501       NaN       NaN         0
 353.801   -66.614    24.641    28.168    14.271    17.708       NaN       NaN         0
 353.871   -47.509    11.475    13.118       NaN       NaN       NaN       NaN         1
 353.894   -52.651    19.099    21.832    11.810    14.654       NaN       NaN         1
 353.898   -52.565    18.148    20.745    12.458    15.458       NaN       NaN         1
 353.988   -53.187    10.133    11.583       NaN       NaN       NaN       NaN         0
 354.013   -52.712    10.293    11.766       NaN       NaN       NaN       NaN         1
 354.022   -41.312    16.840    25.047    11.235    18.139       NaN       NaN         1
 354.025   -41.228       NaN       NaN    11.037    19.710       NaN       NaN         1
 354.036   -41.209    13.968    23.470       NaN       NaN       NaN       NaN         1
 354.043   -52.609   274.307   313.572   192.593   238.970    42.434   176.556         0
 354.118   -48.129    71.947    82.245    56.303    69.861    11.332    47.150         0
 354.130   -63.940    24.205    27.669    17.227    21.376       NaN       NaN         0
 354.135   -41.265   238.261   372.238   204.246   346.357    54.988   312.681         0
 354.152   -66.965    32.030    36.615    24.219    30.051       NaN       NaN         0
 354.182   -52.659    18.350    20.976    10.567    13.111       NaN       NaN         1
 354.188   -52.564    17.818    20.368       NaN       NaN       NaN       NaN         1
 354.198   -41.579    25.933    31.358    18.463    24.232       NaN       NaN         0
 354.234   -48.796    27.000    30.864    21.334    26.472       NaN       NaN         0
 354.244   -41.317    16.071    23.769    12.244    19.656       NaN       NaN         1
 354.244   -41.216    13.990    23.363    10.471    18.980       NaN       NaN         1
 354.340   -52.277    38.218    43.688    23.567    29.241       NaN       NaN         0
 354.360   -46.220    14.866    16.994    10.688    13.262       NaN       NaN         0
 354.364   -59.022    60.245    68.869    47.615    59.081    10.999    45.764         0
 354.902   -66.948    45.523    52.039    35.573    44.140       NaN       NaN         0
 354.909   -66.147    15.078    17.236       NaN       NaN       NaN       NaN         0
 355.187   -46.536    18.206    20.812    15.153    18.802       NaN       NaN         0
 355.328   -58.272    24.936    28.506    13.945    17.303       NaN       NaN         0
 355.548   -68.420    20.091    22.966    15.203    18.863       NaN       NaN         0
 355.643   -44.580    10.356    11.839       NaN       NaN       NaN       NaN         0
 355.823   -57.164    84.553    96.656    68.353    84.812    16.704    69.498         0
 355.855   -70.637    33.521    38.319    20.757    25.755       NaN       NaN         0
 355.861   -58.409    10.821    12.369       NaN       NaN       NaN       NaN         0
 355.864   -56.442    74.129    84.740    64.306    79.792    15.410    64.114         0
 356.126   -50.669    11.698    13.373       NaN       NaN       NaN       NaN         0
 356.183   -61.138    37.514    42.884    23.700    29.407       NaN       NaN         0
 356.214   -47.496    16.771    19.171    12.635    15.677       NaN       NaN         0
 356.217   -59.082    31.341    35.827    26.660    33.079       NaN       NaN         0
 356.368   -59.893    26.098    29.833    22.779    28.264       NaN       NaN         0
 356.521   -64.263    13.533    15.470       NaN       NaN       NaN       NaN         0
 356.671   -51.217    11.870    13.569       NaN       NaN       NaN       NaN         1
 356.784   -57.306    16.414    18.763    16.497    20.469       NaN       NaN         0
