# README: 
# 
# This list was generated by hand by Tom C. on 5Mar19. The input map was
# Daniel D's 2018 coadd lpf9000_tonly_0.5res.g3. The maps were
# isotropically high-pass filtered (with a filter that would have been
# optimal for a map with CMB, white noise, and Gaussian beams). All
# sources are shown that were detected in any band at at least 10
# sigma. This threshold is roughly 10, 10, and 40 mJy at 90, 150, 220
# GHz. The flux measurements are only accurate to ~10% because we don't
# have proper beam measurements yet.
# 
# All detections are listed here, regardless of robustness. I (TC)
# have visually inspected all detections, and any source that appears to
# be spurious (almost always a filtering wing from a brighter sources)
# has been given the "bad flag" value of 1.
# 
# Sources outside the uniform-coverage region have had their
# signal-to-noise and flux measurements rolled off by the apodization
# mask, so sources near the edges of the map should not be used for
# any flux comparisons to other lists or catalogs.
# 
# This file is not in the format expected by the mask constructor in 3g
# mapmaking. It is intended to be used as a resource to build such
# lists.
# 
# The source finding and flagging was done in IDL on spt.uchicago.edu,
# and the IDL code used is in the tar file in this directory
# initial_source_finding_in_idl_docs.tar.gz.


# RA [deg]  dec [deg]  SN90  S90 [mJy]  SN150  S150 [mJy]  SN220  S220 [mJy]  bad_flag
  12.729   -49.681    23.000    26.293    17.652    21.903       NaN       NaN         0
  12.783   -42.451   299.006   341.805   230.306   285.764    55.911   232.629         0
  12.826   -62.701    15.667    17.910    14.515    18.010       NaN       NaN         0
  12.878   -57.681    11.920    13.627       NaN       NaN       NaN       NaN         1
  12.882   -42.506    22.099    25.262       NaN       NaN       NaN       NaN         1
  12.883   -42.393    18.388    21.021    10.297    12.776       NaN       NaN         1
  12.888   -57.607    13.772    15.743       NaN       NaN       NaN       NaN         1
  12.898   -42.487       NaN       NaN    15.262    18.937       NaN       NaN         1
  12.904   -42.418       NaN       NaN    11.698    14.515       NaN       NaN         1
  13.030   -57.607    10.090    11.535       NaN       NaN       NaN       NaN         1
  13.056   -43.117    27.934    31.932    15.476    19.203       NaN       NaN         0
  13.144   -62.231    14.336    16.388    15.265    18.941       NaN       NaN         0
  13.166   -53.199    13.584    15.528    11.632    14.432       NaN       NaN         0
  13.176   -49.797    29.669    33.916    21.116    26.201       NaN       NaN         0
  13.176   -44.789    22.343    25.541    18.659    23.152       NaN       NaN         0
  13.232   -60.567    10.721    12.256       NaN       NaN       NaN       NaN         0
  13.555   -62.256    25.676    29.351    16.768    20.806       NaN       NaN         0
  13.784   -41.426    13.880    18.593    11.460    16.663       NaN       NaN         0
  13.937   -56.953    10.278    11.749       NaN       NaN       NaN       NaN         1
  13.956   -61.393    29.033    33.188    22.493    27.910       NaN       NaN         0
  13.957   -61.608    42.681    48.790    43.606    54.106    12.078    50.252         0
  14.004   -57.026    10.606    12.124       NaN       NaN       NaN       NaN         1
  14.013   -52.701    35.225    40.267    28.793    35.727       NaN       NaN         0
  14.045   -44.567    13.874    15.860    10.838    13.448       NaN       NaN         0
  14.083   -53.318       NaN       NaN    10.724    13.306       NaN       NaN         0
  14.167   -52.978    12.287    14.046    11.160    13.847       NaN       NaN         0
  14.183   -46.680    31.395    35.889    25.892    32.127       NaN       NaN         0
  14.186   -44.858    51.117    58.434    41.999    52.113    11.494    47.822         0
  14.250   -57.026    16.362    18.704       NaN       NaN       NaN       NaN         1
  14.264   -47.453    10.383    11.869       NaN       NaN       NaN       NaN         0
  14.266   -52.242    41.844    47.833    33.830    41.976       NaN       NaN         0
  14.322   -56.958       NaN       NaN    11.681    14.494       NaN       NaN         1
  14.331   -70.672    61.125    69.875    54.548    67.684    11.606    48.289         0
  14.332   -57.022       NaN       NaN    13.595    16.869       NaN       NaN         1
  14.332   -48.905    11.550    13.203       NaN       NaN       NaN       NaN         0
  14.633   -56.931    44.016    50.317       NaN       NaN       NaN       NaN         1
  14.686   -59.531    10.819    12.367       NaN       NaN       NaN       NaN         0
  14.691   -47.246    11.355    12.980    12.593    15.625       NaN       NaN         0
  14.694   -57.051    45.066    51.517    31.326    38.870       NaN       NaN         1
  14.695   -56.989   687.167   785.528   566.304   702.671   128.121   533.071         0
  14.696   -56.934       NaN       NaN    30.580    37.944       NaN       NaN         1
  14.727   -52.327    45.761    52.311    35.116    43.572       NaN       NaN         0
  14.782   -60.042    10.569    12.082       NaN       NaN       NaN       NaN         0
  14.803   -57.716    11.171    12.770       NaN       NaN       NaN       NaN         0
  14.840   -61.446    32.058    36.646    19.194    23.816       NaN       NaN         0
  14.922   -63.476    36.269    41.461    38.908    48.278       NaN       NaN         0
  15.059   -56.957       NaN       NaN    12.205    15.144       NaN       NaN         1
  15.089   -57.022       NaN       NaN    12.689    15.744       NaN       NaN         1
  15.135   -56.952    15.390    17.593       NaN       NaN       NaN       NaN         1
  15.137   -57.026    16.582    18.956       NaN       NaN       NaN       NaN         1
  15.164   -47.977    11.890    13.592       NaN       NaN       NaN       NaN         0
  15.179   -57.019       NaN       NaN    10.035    12.451       NaN       NaN         1
  15.191   -50.543    18.046    20.629    10.593    13.144       NaN       NaN         0
  15.319   -62.549   117.172   133.944    93.736   116.308    21.533    89.591         0
  15.402   -57.025    10.079    11.522       NaN       NaN       NaN       NaN         1
  15.423   -45.732    10.502    12.006       NaN       NaN       NaN       NaN         0
  15.451   -56.138    14.146    16.171       NaN       NaN       NaN       NaN         0
  15.544   -56.620   122.234   139.730    93.721   116.289    20.054    83.440         0
  15.644   -49.266    10.358    11.840       NaN       NaN       NaN       NaN         1
  15.685   -64.619       NaN       NaN    13.648    16.934       NaN       NaN         1
  15.701   -64.684       NaN       NaN    16.053    19.918       NaN       NaN         1
  15.708   -64.597    19.394    22.171       NaN       NaN       NaN       NaN         1
  15.770   -51.158    29.593    33.829    20.220    25.089       NaN       NaN         0
  15.796   -49.269    11.173    12.772    10.347    12.839       NaN       NaN         1
  15.855   -45.825    31.377    35.868    23.406    29.042       NaN       NaN         0
  15.890   -64.706    23.558    26.930       NaN       NaN       NaN       NaN         1
  15.893   -64.650   326.079   372.754   274.114   340.121    62.919   261.786         0
  15.965   -63.848    37.687    43.081    28.595    35.481       NaN       NaN         0
  16.032   -56.957    53.756    61.451    44.942    55.764       NaN       NaN         0
  16.073   -64.595    19.895    22.743    13.795    17.116       NaN       NaN         1
  16.086   -64.686       NaN       NaN    15.297    18.981       NaN       NaN         1
  16.387   -61.236    14.723    16.830    12.870    15.970       NaN       NaN         0
  16.516   -47.904    25.266    28.883    18.550    23.016       NaN       NaN         0
  16.631   -46.650    20.957    23.957    16.224    20.131       NaN       NaN         0
  16.726   -48.529    25.111    28.705    20.427    25.346       NaN       NaN         0
  16.794   -55.346    13.149    15.031    10.557    13.100       NaN       NaN         0
  16.971   -68.718    13.857    15.840    11.028    13.684       NaN       NaN         0
  17.318   -60.830    92.774   106.054    72.606    90.090    14.213    59.137         0
  17.402   -59.804    43.528    49.759    34.719    43.080       NaN       NaN         0
  17.576   -63.264    76.685    87.662    57.848    71.778    11.491    47.811         0
  17.681   -45.120    32.870    37.575    27.240    33.800       NaN       NaN         0
  17.756   -47.823    17.347    19.830       NaN       NaN       NaN       NaN         0
  17.858   -66.616    18.881    21.584    13.039    16.178       NaN       NaN         1
  17.860   -66.532    16.784    19.186    12.215    15.157       NaN       NaN         1
  17.932   -68.993    13.200    15.089       NaN       NaN       NaN       NaN         0
  18.009   -66.484    10.690    12.220       NaN       NaN       NaN       NaN         1
  18.049   -66.672    10.694    12.225       NaN       NaN       NaN       NaN         1
  18.084   -66.575   275.306   314.713   227.259   281.984    48.288   200.910         0
  18.166   -43.087    15.048    17.202    11.103    13.777       NaN       NaN         0
  18.301   -66.529    18.107    20.699    12.018    14.912       NaN       NaN         1
  18.304   -67.880    52.567    60.092    44.178    54.816    10.131    42.153         0
  18.305   -66.621    16.438    18.791    12.045    14.946       NaN       NaN         1
  18.344   -53.501    16.005    18.297    11.302    14.023       NaN       NaN         0
  18.506   -70.418    18.327    20.950    13.786    17.106       NaN       NaN         0
  18.616   -43.635    11.710    13.386       NaN       NaN       NaN       NaN         0
  18.742   -62.484    11.182    12.783       NaN       NaN       NaN       NaN         0
  18.918   -58.416    12.861    14.702       NaN       NaN       NaN       NaN         0
  18.977   -50.502    31.894    36.459    28.708    35.621       NaN       NaN         0
  19.079   -47.741    10.123    11.572       NaN       NaN       NaN       NaN         0
  19.097   -46.550    18.151    20.750    14.811    18.378       NaN       NaN         0
  19.101   -47.390    12.187    13.932    11.634    14.435       NaN       NaN         0
  19.202   -54.780    20.508    23.443    19.118    23.722       NaN       NaN         0
  19.239   -65.363    49.240    56.289    42.204    52.366       NaN       NaN         0
  19.547   -69.760    27.791    31.769    24.077    29.875       NaN       NaN         0
  19.586   -69.857    12.424    14.203       NaN       NaN       NaN       NaN         0
  19.588   -45.664    10.909    12.471    10.109    12.544       NaN       NaN         0
  19.600   -60.133    23.865    27.281    22.819    28.314       NaN       NaN         0
  19.613   -51.261    48.103    54.989    46.686    57.928    13.009    54.127         0
  19.660   -45.458    13.544    15.482       NaN       NaN       NaN       NaN         0
  19.682   -41.050    14.071    29.793    10.465    24.050       NaN       NaN         0
  19.702   -48.359    13.240    15.135       NaN       NaN       NaN       NaN         0
  19.718   -42.067    16.696    19.085    13.173    16.345       NaN       NaN         0
  19.771   -69.491    17.254    19.724    14.227    17.653       NaN       NaN         0
  19.928   -68.153    10.345    11.825       NaN       NaN       NaN       NaN         0
  19.953   -53.958    54.821    62.669    41.963    52.068    11.579    48.177         0
  20.030   -52.187    23.693    27.085    19.629    24.355       NaN       NaN         0
  20.426   -63.151    21.632    24.729    12.147    15.073       NaN       NaN         0
  20.549   -69.561    11.824    13.516    10.668    13.237       NaN       NaN         0
  20.732   -44.868    17.666    20.195    11.176    13.867       NaN       NaN         0
  20.948   -46.395    60.375    69.017    44.892    55.702    11.598    48.257         0
  20.988   -41.526    10.190    12.667     9.920    13.385       NaN       NaN         0
  21.233   -51.225    78.203    89.397    66.845    82.941    19.618    81.622         0
  21.255   -53.421    34.916    39.914    25.752    31.953       NaN       NaN         0
  21.257   -70.309    18.688    21.363    15.751    19.544       NaN       NaN         0
  21.385   -59.013    11.935    13.643       NaN       NaN       NaN       NaN         0
  21.421   -61.054    16.668    19.054    12.242    15.190       NaN       NaN         0
  21.589   -48.318       NaN       NaN    10.664    13.231       NaN       NaN         0
  21.594   -51.058    55.342    63.263    40.822    50.651    10.181    42.358         0
  21.674   -48.188    20.465    23.394    14.953    18.554       NaN       NaN         1
  21.681   -48.278    20.776    23.750    14.712    18.254       NaN       NaN         1
  21.784   -48.133    11.726    13.405       NaN       NaN       NaN       NaN         1
  21.808   -48.231   303.173   346.569   275.054   341.287    72.568   301.933         0
  21.932   -48.278    20.703    23.666    15.072    18.701       NaN       NaN         1
  21.937   -48.181    18.661    21.333    16.335    20.268       NaN       NaN         1
  21.976   -51.613    20.213    23.106    16.266    20.183       NaN       NaN         0
  21.979   -53.499    31.559    36.077    26.014    32.279       NaN       NaN         0
  22.054   -59.563    16.860    19.274    10.021    12.434       NaN       NaN         0
  22.085   -56.830    68.789    78.635    48.469    60.141    10.575    43.998         0
  22.136   -52.925    17.742    20.282       NaN       NaN       NaN       NaN         0
  22.139   -47.942    10.986    12.558       NaN       NaN       NaN       NaN         0
  22.250   -54.227    10.518    12.024       NaN       NaN       NaN       NaN         0
  22.390   -43.157    20.001    22.864    17.866    22.168       NaN       NaN         0
  22.547   -51.970    10.054    11.493       NaN       NaN       NaN       NaN         1
  22.578   -52.040    10.559    12.070       NaN       NaN       NaN       NaN         1
